,address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,addresses_in_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff
46,1vVutkMjHR2ykCGtbkoBAWoUDPWrNfBFP,8489135.0,20,14,0.6666666666666666,40,60,0,11764.0,16846.833333333332,45546.0,3469.0,7414295001,7414295001,166814866.66666666,126715800.0,506917000.0
47,1PukY3749auH4yU869LEx1Fj8oyAEr2Z7S,16893555.0,2,21,0.19047619047619047,4,21,0,13232.0,13232.0,25801.0,663.0,37377750,37377750,1103249.9523809524,5651287.5,2005150.0
48,1EPkRAUVJsdSs75PLrjKPtPA3g7p8SEYXX,940643.0,24,8,1.0833333333333333,52,48,0,16309.0,22396.571428571428,62394.0,7113.0,3979859068,3979859068,30094355.666666668,26187036.0,50574131.0
49,15PPEhWGC5otEQ9Eof2b54kz8Xgx7LZoKG,2619534.0,833,13,0.9230769230769231,1428,1547,1,97146.0,199486.625,674520.0,10802.0,619720733486,619720733486,8107235.769230769,5899745.083333333,48043327.0
50,15rJBQawszHcJ5DQ1jJH2m2Z21EXKQjgc4,10259084.0,4,19,0.9230769230769231,24,26,0,26903.0,55261.1,193662.0,3836.0,9574000000,9574000000,260769230.76923078,267500000.0,120000000.0
51,1EvZNAcNA7qJCk5mfftzhqpiiJLKY9vWgX,4493769.0,3,13,0.9230769230769231,12,13,0,9075.5,15330.4,48721.0,534.0,234410637,234410637,11950594.76923077,9492878.583333334,19359162.0
52,12CnPUD27HKqRq9vgfb8TJb1zeZeU2RiFs,38757981.0,2,20,1.0833333333333333,13,12,1,206792.0,432300.22222222225,1384368.0,0.0,647646764,647646764,36713670.333333336,26202512.615384616,101254044.0
53,16gtYgAmF5V1Dwk7ZNvhuq9DRhZRrmZMxb,16788643.0,2,21,0.08695652173913043,2,23,0,3367.0,3367.0,3367.0,3367.0,19066030058,19066030058,31616812.86956522,24712328.5,568584248.0
54,1Hd1BMuYX8G1FF4xNVHSbsWWJVwuvLRXza,3255421.0,10,9,0.6666666666666666,10,15,0,2922.0,6436.4,20180.0,2850.0,3033503018,3033503018,194140134.53333333,240080301.8,1400000000.0
55,17Qcr4tdmwe5XNM6gx7RdYxgcVkqQEk4ZC,5585805.0,3,14,0.7857142857142857,11,14,0,1301.0,31074.11111111111,253568.0,0.0,33831257,33773349,1775196.5714285714,2011044.9090909092,2675010.0
56,18YbDvTmU3Px5uYixfwnMvVCxngmhEpENC,188700.0,198,3,1.7777777777777777,176,99,1,0.0,1122.75,7025.0,0.0,11626730000,11626730000,132705555.55555555,69021875.0,804000000.0
57,1DpEVewBbgwApy1uktAuMX6nn8gPxJBjkT,158993995.0,69,16,0.13636363636363635,69,506,0,0.0,0.0,0.0,0.0,15753487667,15753487667,4025106.227272727,21298540.333333332,20683107.0
58,18CfVpqtaMskDSkQKiW8BBFrGQGPdKFnbW,699954.0,4,8,1.0,10,10,0,3636.5,3246.125,4144.0,303.0,837757059,837757059,83775705.9,83775705.9,100000000.0
59,183hfwh85ug1np4CPCGMnWjBJxEmrYXULM,3820062.0,14,13,0.9230769230769231,84,91,0,5616.5,7107.2,15461.0,2461.0,50140130623,50140130623,227707615.3846154,216034500.0,300960000.0
60,14DnD1BMSShCqQHVGqfPc61NctwhQqdfa7,7223110.0,6,14,0.9230769230769231,24,26,0,5027.0,17993.4,96142.0,2654.0,1322632784,1322632784,38480504.23076923,38354115.0,27633777.0
61,17Yhi3B6dEM7gfPQvSPuDK9CBwqzE5KtyV,4685552.0,45,12,0.041666666666666664,9,216,0,71004.0,71004.0,71004.0,71004.0,2913000000,2913000000,10875000.0,21000000.0,189000000.0
62,1CKQ4GLgTzKesEE63djmtSmZkPRBay4bja,4216694.0,6,12,0.46153846153846156,12,26,0,21055.5,35212.25,92752.0,5986.0,59149208,59149208,2664897.0,3936724.8333333335,1047405.0
63,1KPvgTBqRPGp7hh4VurvmoDREmZpwDDQKu,14740090.0,16,17,1.2727272727272727,56,44,0,18810.5,17602.0,27434.0,5353.0,471490000,471490000,19953636.363636363,15177857.142857144,149490000.0
64,17QcE64RFAZGDrVo1jkH6fEXmmjEKKBSed,144988464.0,12,21,0.9230769230769231,72,78,0,52989.0,92055.25,318032.0,1601.0,1817236668,1817236668,32508050.769230768,35024294.583333336,101000.0
65,1L6nEyp5eUauuCyGBrvk8ff8HWNaD1zCit,11667537.0,6,22,3.1666666666666665,57,18,0,123620.0,224994.6,711314.0,3990.0,105068966,105068966,6008566.666666667,1897442.105263158,750000.0
66,121iUY1czgXaQcEFrKKjbzMUdCquTQgPHL,3183381.0,20,13,0.47058823529411764,32,68,0,166138.5,166138.5,207822.0,124455.0,7640034007,7640034007,117976847.05882353,126800246.125,0.0
67,15e5gZd5gAh6eHSFVYgqZ6V4ByznAPjNsw,10533389.0,3,14,1.0,11,11,0,12809.0,23730.571428571428,66403.0,3458.0,654309779,654309779,59482707.18181818,59482707.18181818,150482874.0
68,1RichoHNquusV8Tb4wkSU6VGoQBSj58pM,243236231.0,110,4,0.041666666666666664,5,120,0,216923855.0,216923855.0,216923855.0,216923855.0,2506255985,2506255985,356708.3333333333,1000.0,0.0
69,1PoarppFDw6tKR6viB4c6UBTnMSzwSWhh2,14234215.0,30,17,0.9230769230769231,120,130,0,21690.5,34951.3,156904.0,1018.0,14865009,14865009,87821.07692307692,91125.91666666667,122014.0
70,1Coh362Abxg6kk8Rxvc7SfXw2fnDMAjZuF,5791295.0,3,19,1.5,15,10,0,48390.0,105501.55555555556,378661.0,504.0,287604401,287604401,28760440.1,19173626.733333334,10000000.0
71,1FcuuzvNwc3jvcFmAufvSAt337JBdUYquP,13439755.0,9,20,1.2727272727272727,42,33,0,90795.0,253829.33333333334,730698.0,1789.0,1123716597,1123716597,11591831.818181818,9107867.857142856,4830461.0
72,12gPNyfAqzamDkhuZnbTY9dwCA8cuTwNZv,96230770.0,72,18,1.2727272727272727,336,264,0,25026.0,51009.6,180124.0,1515.0,4544622025,4544622025,21524221.818181816,278826.0714285714,723287.0
73,1F1ukVyeeU2EGTSvZ6PSp7y3fTurqTTMo5,6488741.0,36,10,1.0833333333333333,117,108,0,3932.0,5447.571428571428,20541.0,770.0,1476741827,1476741827,46652114.25,42986567.0,223540000.0
74,1JwfPe9kyZ498oa4xJNEDyyGG84rLaakqm,9274018.0,12,17,2.5714285714285716,72,28,0,12135.0,25126.6,86875.0,5307.0,1400433414,1400427324,40233031.28571428,15562536.0,175805.0
75,14HMtbgEJpgLhkLsCRN8Uu43sQQ1tj29sP,28809538.0,76,13,0.7857142857142857,209,266,0,1035.0,6624.5,40447.0,624.0,787251498,787251498,553142.5,694368.6363636364,3390000.0
